"Date","Account","Description","Check #","Category","Memo","Credit","Debit"
"04/15/2024","Associated Balanced Checking","Petco","","Household/","","","-9.99"
"04/15/2024","Associated Balanced Checking","SQ * ALL AB","","Dining/","","","-12.25"
"04/15/2024","Associated Balanced Checking","Parkmobile","","Transportation/","","","-2.75"
"04/15/2024","Associated Balanced Checking","SUPERB","","Dining/","","","-13.43"
"04/15/2024","Associated Balanced Checking","Spotify","","Entertainment/","","","-12.11"
"04/15/2024","Associated Balanced Checking","MAKUNA","","Groceries/","","","-31.86"
"04/15/2024","Associated Balanced Checking","KNEADY","","Groceries/","","","-12.00"
"04/15/2024","Associated Balanced Checking","THE PR","","Groceries/","","","-31.57"
"04/15/2024","Associated Balanced Checking","Google","","Entertainment/","","","-14.76"
"04/15/2024","Associated Balanced Checking","BLIZZA","","Entertainment/","","","-10.00"
"04/12/2024","Associated Balanced Checking","Paypal","","Payments & Transfers/","","","-208.47"
"04/12/2024","Associated Balanced Checking","Slim Chickens","","Dining/","","","-12.03"
"04/12/2024","Associated Balanced Checking","SUPERB","","Dining/","","","-15.44"
"04/12/2024","Associated Balanced Checking","Publix","","Groceries/","","","-81.66"
"04/11/2024","Associated Balanced Checking","Chase Credit Card","","Payments & Transfers/","","","-454.86"
"04/10/2024","Associated Balanced Checking","DEPT EDUCATION","","Loans & Mortgages/","","","-100.00"
"04/10/2024","Associated Balanced Checking","JORDAN","","Dining/","","","-40.44"
"04/09/2024","Associated Balanced Checking","Verizon Fios","","Utilities/","","","-167.60"
"04/09/2024","Associated Balanced Checking","DISCOVER","","Payments & Transfers/","","","-100.00"
"04/09/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-100.00"
"04/09/2024","Associated Balanced Checking","BRANDT INFORMATI PAYROLL  TURCHIK  MARK JAMES","","Paycheck, Pensions & Annuity/","","2833.69",""
"04/08/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-25.00"
"04/08/2024","Associated Balanced Checking","BON BE","","Dining/","","","-14.52"
"04/08/2024","Associated Balanced Checking","THE PR","","Groceries/","","","-40.36"
"04/08/2024","Associated Balanced Checking","MELT FOOD","","Dining/","","","-32.59"
"04/08/2024","Associated Balanced Checking","SQ * TIN CA","","Dining/","","","-13.90"
"04/05/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-267.60"
"04/05/2024","Associated Balanced Checking","Amazon Prime","","Shopping/","","","-7.51"
"04/05/2024","Associated Balanced Checking","FOSKO","","Dining/","","","-9.26"
"04/05/2024","Associated Balanced Checking","FOSKO","","Dining/","","","-30.43"
"04/03/2024","Associated Balanced Checking","INSPIRE A RENT  MARK TURCHIK","","Household/","","","-1625.22"
"04/03/2024","Associated Balanced Checking","Publix","","Groceries/","","","-28.41"
"04/03/2024","Associated Balanced Checking","JERSEY MIK","","Dining/","","","-15.70"
